usuario,perfilLink,textoComentario,timestamp,dataFormatada,tempoExibido,likes
caroline.limma88,caroline.limma88,"Na minha casa não, mas na casa de uma tia a melhor comida era para os homens.",2023-01-15T18:58:55.000Z,"Jan 15, 2023",122w,0
flavia.fjveiga,flavia.fjveiga,"Aqui na minha casa também foi assim, meus pais foram geniais, nunca diferenciaram valores, o comportamento que eles julgavam ruim servia para os dois, assim como nos direitos e privilégios né @bimbovskei",2023-01-15T18:58:58.000Z,"Jan 15, 2023",122w,2
lucianamonteiro7,lucianamonteiro7,"Minha mãe falava que tinha mulher de mais em casa, não precisava os homens terem que fazer as coisas não.. 😮",2023-01-15T19:00:01.000Z,"Jan 15, 2023",122w,0
nair_caroline,nair_caroline,"Eu amo e guardo com carinho minha educação em um lar cheio de homens, e hoje continuo com meu lar só homens kkkk( eu , meu esposo e filho). Prefiro a companhia dos homens do que de mulheres.😂",2023-01-15T19:00:37.000Z,"Jan 15, 2023",122w,0
meundfrias,meundfrias,@renata_fontanetto o que acha?,2023-01-15T19:03:50.000Z,"Jan 15, 2023",122w,0
anazuquicroche,anazuquicroche,"Meu irmão sendo mais velho 6 anos era o servido enquanto eu com 8 nãos de idade era a empregada, cozinheira e saco de pancada dele, pois quando não estava do seu agrado os meus serviços doméstico ele achava por bem me ensinar com uma surra e pancadas. Eu só agradeço por não ter tido mais irmãos. Fico triste que mais tantas mulheres passaram por isso e feliz que algumas excessos tiveram a sorte de serem tratadas com respeito e dignidade.",2023-01-15T19:04:23.000Z,"Jan 15, 2023",122w,0
danivieira.amicci,danivieira.amicci,Morria de ódio de ter q ajudar minha mãe a fazer o almoço e arrumar cozinha enquanto meus irmãos ficavam só deitados na sala vendo TV..,2023-01-15T19:05:44.000Z,"Jan 15, 2023",122w,0
__adriellemoraes,__adriellemoraes,"Meu irmão fazia de tudo, enquanto eu ficava deitada, assistindo, comendo e pintando às unhas!!!",2023-01-15T19:06:02.000Z,"Jan 15, 2023",122w,0
carolcdesa,carolcdesa,"Nossa, a lista é grande!",2023-01-15T19:07:09.000Z,"Jan 15, 2023",122w,0
laura.franchi.cassiano,laura.franchi.cassiano,Eu e minha irmã @franchiligia arrumava a cama e ajudava nas louças. Tb dividíamos o quarto. Meu irmão tinha um quarto dele. 🤡,2023-01-15T19:07:20.000Z,"Jan 15, 2023",122w,1
crianca.nao.e.trans,crianca.nao.e.trans,"eu e minhas duas irmãs tínhamos muitas tarefas e uma delas era nos revezar pra deixar a cozinha limpa toda noite. meus dois irmãos NUNCA FAZIAM NADA, só tinham q estar em casa antes dos meus pais chegarem do trabalho.",2023-01-15T19:07:45.000Z,"Jan 15, 2023",122w,19
meundfrias,meundfrias,@flaolca,2023-01-15T19:09:22.000Z,"Jan 15, 2023",122w,0
meundfrias,meundfrias,@flaviamddias,2023-01-15T19:09:31.000Z,"Jan 15, 2023",122w,0
izabellacomze2l,izabellacomze2l,"Nossa q bom saber q não estou sozinha, mesmo sabendo q o assunto é trágico! A lista de coisas não caberia aqui!",2023-01-15T19:10:34.000Z,"Jan 15, 2023",122w,2
ma.lourenco,ma.lourenco,"Minha irmã caçula nasceu eu tinha 11 anos, minha mãe estava no hospital e EU tinha que limpar a casa e me virar com comida tendo pai e irmão de 15 anos em casa ambos não ajudavam nos afazeres",2023-01-15T19:11:36.000Z,"Jan 15, 2023",122w,0
_marcelamartini_,_marcelamartini_,"Eu tinha 28 anos e morava com meus pais. Morávamos de aluguel e eu ajudava pagando o aluguel integralmente. Um dia, meu irmão, 13 anos mais velho, então, com 41 anos, veio morar com a gente. Falei pra minha mãe que ele teria que dividir o aluguel comigo. Minha mãe achou um absurdo, meu pai não opinou.",2023-01-15T19:12:43.000Z,"Jan 15, 2023",122w,0
caritacoutinho,caritacoutinho,@zanellovaleska olha esse post necessário,2023-01-15T19:12:50.000Z,"Jan 15, 2023",122w,0
afernandanaves,afernandanaves,Na nossa casa sempre eu e minha irmã tínhamos que levar as louças do almoço da família … e ao questionar falavam que meu irmão era muito pequeno. 1 ano mais novo que eu 🙌🙃,2023-01-15T19:13:28.000Z,"Jan 15, 2023",122w,3
fisiocomlari,fisiocomlari,"Tenho um irmão 6 anos mais novo que eu. Dês de nova foi cobrado de mim a excelência nós estudos, fazer faculdade e tudo mais. Meu irmão n terminou nem o ensino fundamental. Eu nunca pude sair sozinha pra festa só se algum adulto tivesse CMG, até me casar. Meu irmão sempre teve liberdade pra sair sozinho. Eu sempre tive que fazer todas as tarefas da casa, mesmo quando grande e podendo fazer era apenas obrigação minha. Ele sempre pode falar da forma que quiserem com meus pais, se hj mesmo casada e com a minha vida, se n tratalos como senhora e senhor, sou recriminada na HR e me falam que n tenho respeito. Logo quando casei meu pai já disse logo, que mulher casada n tem amigos e que n precisava ser tão simpáticas e que mulher que trai é uma @#$@@. Meu irmão já vai no segundo casamento e traiu a duas esposas e tanto meu pai e minha mãe falam que são normais.",2023-01-15T19:15:46.000Z,"Jan 15, 2023",122w,0
jokoziol,jokoziol,Me lembro muito de ter que dar descarga no banheiro pq ele não dava. Meu pai fazia o mesmo.,2023-01-15T19:16:13.000Z,"Jan 15, 2023",122w,0
nalagana,nalagana,"Eu tinha que limpar, cozinhar, cuidar do meu irmão mais novo, ir em reunião da escola, levar ao médico( sendo que tinha uns 12 anos). Meus irmãos tinham liberdade e eu não ! Até hoje me sinto responsável por todos mesmo sendo casada a 10 anos.",2023-01-15T19:16:56.000Z,"Jan 15, 2023",122w,0
mammamaarii,mammamaarii,"Filhas mulheres não podiam dormir fora de casa, mesmo depois dos 18, mesmo noiva, mas o filho homem podia.",2023-01-15T19:17:06.000Z,"Jan 15, 2023",122w,0
bomdelerbomdever,bomdelerbomdever,"Ihhhh, cresci com 3 irmãos homens e teria muitos exemplos nesse sentido. Até quando adulta vi a diferença. Mas tudo já foi tratado em terapia 😉",2023-01-15T19:17:12.000Z,"Jan 15, 2023",122w,0
psicologa.rita.de.cassia,psicologa.rita.de.cassia,"Minha mãe acordava meu irmão, fazia o leite dele e espera o fretado que passava na porta de casa e só depois do meu irmão dentro do ônibus ela voltava a dormir(pq ele saia muito cedo) Comigo, ela abria a porta do quarto e dizia: tá na hora! E eu levantava, me arrumava, e tomava meu café na lanchonete próxima ao meu trabalho....",2023-01-15T19:17:33.000Z,"Jan 15, 2023",122w,0
thaisvicentini,thaisvicentini,Tive sorte demais ! Não posso falar nada da @marlenervicentini sobre isso .,2023-01-15T19:18:02.000Z,"Jan 15, 2023",122w,0
gabicontao,gabicontao,"Nem preciso de irmãos homens. Meu pai tem duas filhas e minha vó sempre fala que tem dó porque ele não tem um filho homem, meu pai mesmo nem liga. Mas a forma como ela fala é como se eu e minha irmã não fossemos nada!!!",2023-01-15T19:19:01.000Z,"Jan 15, 2023",122w,0
lubussmann,lubussmann,"Já na época da minha avó, só eu e minha prima lavávamos a louça, nunca meus irmãos e primos foram “convidados”a fazer tal serviço. Ficavam sentados no sofá vendo desenho e lendo gibi. Meu tio dilapidou o pouco dinheiro que meu avô tinha e agora vai ficar com a casa de praia porque a própria mãe acha que ele tem mais direito. Na minha casa, além do trabalho doméstico, o tratamento da minha mãe com meu irmão é como se estivesse sempre recebendo um hóspede ilustre em casa, sobre meu pai, seria muito triste relatar aqui, é mesmo uma questão de amor e a ausência dele, quase como uma raiva das mulheres, especialmente quando elas denunciam.",2023-01-15T19:20:07.000Z,"Jan 15, 2023",122w,0
jokoziol,jokoziol,Cada relato aqui tão absurdo e ao mesmo tempo tão próximo. Espero que o ciclo seja quebrado.,2023-01-15T19:20:52.000Z,"Jan 15, 2023",122w,0
oliviericarolina,oliviericarolina,"Éramos duas meninas e um menino morando na mesma casa (havia um meio-irmao por parte de pai, não morava conosco e negligenciado de tudo). Na teoria, ou era pros três, ou era pra nenhum. Na prática, pro futebol dele, pra escola integral dele (eu e minha irmã tínhamos bolsa de estudo por mérito), pra faculdade dele (foi o único a não passar)... dava-se um jeitinho. Obrigação em casa era levar o lixo (que nós recolhiamos) até a lixeira do prédio... De resto? As mulheres faziam tudo. E ainda tinha reclamação se não estivesse do agrado, se a cebola não sumisse, se achasse um pedacinho, fim do mundo. Aí cresceu, casou, a mulher cozinhava tudo com cebola, passou a gostar (claro). Lamento não ser mae de menino pra fazer diferente.",2023-01-15T19:22:16.000Z,"Jan 15, 2023",122w,0
camila.queirozm,camila.queirozm,"Eu apanhei na cara do meu irmão em 2007. Eu tinha 19 e ele 17. Ele tinha engravidado a namorada dentro da nossa casa, mas eu n podia levar meu namorado em casa. Minha mãe disse q ele me bateu pq tava estressado com a gravidez da namorada. Meus pais não fizeram nada com ele, pelo contrário, buscaram justificativas pra agressão e me culpabilizaram. Eu n falo com ele desde então e até hoje escuto dos meus pais que sou rancorosa. Eu cresci sendo ameaçada de violência por ele e fazendo tudo em casa sozinha, um sentimento de injustiça tremenda. Muitos anos depois, em 2019, ele ameaçou bater na nossa irmã mais nova e só não o fez por medo da Maria da Penha, mas ali houve uma violência psicológica muito séria e infelizmente não tivemos como provar - fizemos BO e tudo, mas não deu em nada.",2023-01-15T19:25:01.000Z,"Jan 15, 2023",122w,3
ingrydrodriguesc,ingrydrodriguesc,@lohannechaves,2023-01-15T19:26:15.000Z,"Jan 15, 2023",122w,0
palma.thais,palma.thais,"Meu irmão era incentivado a praticar esportes, fazer cursos, enquanto pra mim tudo era caro, longe, difícil. O único que consegui foi fazer natação, pq ele ia, quando ele não quis mais fazer, me tiraram tbm, mesmo eu adorando. Uma vez fizemos uma aula experimental de Karatê e eu me sai muito melhor que ele, resultado: não houve matrícula, mesmo eu implorando ao nosso avô",2023-01-15T19:26:33.000Z,"Jan 15, 2023",122w,0
li_cotrin,li_cotrin,"O meu irmão que escolhia sempre a programação da TV na hora do almoço, o melhor pedaço de carne era o dele e minha mãe que fazia o prato dele primeiro pr depois eu fazer o meu, e ainda tinha que tirar toda a mesa e arrumar enquanto ele via a TV!!!",2023-01-15T19:26:39.000Z,"Jan 15, 2023",122w,0
thacsouzaesouza,thacsouzaesouza,"Toda a rotina doméstica era minha. Além disso, as namoradas dele podiam dormir no mesmo quarto que ele, os meus, na sala.",2023-01-15T19:27:07.000Z,"Jan 15, 2023",122w,0
carol.emidio_,carol.emidio_,"Em casa era minha mãe, dizia: ""você que é mulher e tem que me ajudar"" os meninos nunca faziam nada😢",2023-01-15T19:29:34.000Z,"Jan 15, 2023",122w,0
lucianabroetto,lucianabroetto,"Hoje é carnaval….É , mas você não vai !",2023-01-15T19:29:42.000Z,"Jan 15, 2023",122w,0
lisvidal,lisvidal,"Não poder dirigir o carro do meu pai, ser criticada pela minha roupa… meu irmão mais novo poder levar namorada pra dormir em casa e eu, mesmo ja tendo namorado 3x antes, não podia levar namorado pra dormir em casa 3 anos depois quando eu questionei isso, tive que ouvir que a culpa era minha porque “nunca tinha pedido direito” e porque “claro, olha os namorados que você escolhia.. óbvio que meu pai não ia deixar” 🙄 em todas as brigas entre nós: meu irmão sempre tinha razão e eu NUNCA era ouvida… até socar parede meu irmão socou… mas a errada era SEMPRE eu!! E hoje quando eu falo de machismo nessa relação pra família: continuo estando errada, continuo sendo culpada porque “você é difícil.. não tem nada a ver como machismo”… paciência, viu?",2023-01-15T19:31:55.000Z,"Jan 15, 2023",122w,0
_so.verissimo_,_so.verissimo_,😂,2023-01-15T19:31:56.000Z,"Jan 15, 2023",122w,0
manuprimlima,manuprimlima,"Hj em dia, tenho um casal. Meus filhos são tratados com igualdade, desde as bonecas que meu menino pega pra brincar, até os carrinhos e bolas de futebol que minha menina gosta de brincar. Eles ainda são pequenos, mas são participativos e colaborativos. Procuro ser sempre justa com os dois. Claro que cometo alguns erros, mas estou fazendo meu melhor, e creio que eles serão melhores que eu 🙌",2023-01-15T19:33:13.000Z,"Jan 15, 2023",122w,0
marianacintras,marianacintras,Vixe!! A lista é grande!!😂😂,2023-01-15T19:33:25.000Z,"Jan 15, 2023",122w,0
lu_mmortiz,lu_mmortiz,"Eu me minhas duas irmãs não tínhamos direito de sair nos finais de semana, tínhamos que ajudar nas tarefas de casa, não podíamos fumar nem viajar com amigas enquanto meu irmão fazia tudo isso e ainda tinha tudo pronto nas mãos 😢",2023-01-15T19:35:21.000Z,"Jan 15, 2023",122w,1
luandagabrielatavares,luandagabrielatavares,"Aqui em casa a lei é a seguinte; sujou, limpou independentemente se for menino ou menina todos tem obrigações. Sou mãe de 4 dois meninos é 2 meninas😍",2023-01-15T19:35:41.000Z,"Jan 15, 2023",122w,0
ariela.brand,ariela.brand,Se eu parar pra escrever vou fazer um livro!,2023-01-15T19:40:07.000Z,"Jan 15, 2023",122w,0
eli.ane.coelho,eli.ane.coelho,"Meu pai não queria que eu estudasse, mesmo indo bem na escola, mas minha mãe me matriculou , e eu fui um tempo escondida pra 5a série.",2023-01-15T19:41:13.000Z,"Jan 15, 2023",122w,0
valente7010,valente7010,"Nem me sinto em condições de comentar, pois este modo desigual de tratamento tornou muito difícil a relação com o meu irmão, sobretudo após a partida dos nossos pais",2023-01-15T19:41:13.000Z,"Jan 15, 2023",122w,0
juoleite,juoleite,Nossa. Pra mim é gatilho demais pensar nisso 😢,2023-01-15T19:42:14.000Z,"Jan 15, 2023",122w,0
_perfildesativadoxx,_perfildesativadoxx,Irmão podia dormir com a namorada (lá em casa) e meu namorado não podia dormir!,2023-01-15T19:42:47.000Z,"Jan 15, 2023",122w,2
rafaellej,rafaellej,"Lá em casa eu sempre considerei diferente e hj entendo que foi o melhor. Minha mãe pedia ajuda minha e do meu irmão com a casa (colocar as coisas no lugar e passar uma vassoura) e lavar a louça. Nos organizamos do jeito que achávamos melhor, tinha dia q ele lavava e eu arrumava e vice versa. Lembro que nunca fomos cobrados p faxinar, fazer comida e lavar roupa (coisas mais 'dificeis' era com a minha mãe). Ela como mãe solo (mesmo tendo casado de novo) tentou fazer o melhor. Hj tbm sou mãe de um casal e pretendo me organizar p fazer o mesmo... Criar adultos funcionais. @lusarape0",2023-01-15T19:42:49.000Z,"Jan 15, 2023",122w,1
ssales.priscila,ssales.priscila,@patricia.sales.9659,2023-01-15T19:43:25.000Z,"Jan 15, 2023",122w,0
ivesena,ivesena,@liziane_fatima_maia @vanessatfgomes,2023-01-15T19:43:47.000Z,"Jan 15, 2023",122w,0
catarina_vidademae,catarina_vidademae,"Eu fazia as tarefas domésticas, ele podia me provocar e até bater, mas eu tinh que me calar e e hipótese alguma contar ao meu pai para ele não apanhar. Só podia sair se ele não estivesse de castigo, ele ganhou um carro com 18 anos eu não. Fomos trabalhar para o meu pai e ele ganhava o dobro do que ganhava e trabalhava menos... minhas roupas eram da riachuelo e lojas baratas, as dele eram da m officer...",2023-01-15T19:43:56.000Z,"Jan 15, 2023",122w,0
elalidianeribeiro,elalidianeribeiro,Felizmente somos 5 mulheres 🙌,2023-01-15T19:43:58.000Z,"Jan 15, 2023",122w,0
eucristhiellysouza,eucristhiellysouza,"to até salvando esse post. Nunca me senti tão representada nesse instagram. obrigada por isso, @thaisbasile.psi ❤️",2023-01-15T19:44:45.000Z,"Jan 15, 2023",122w,0
rodolfo.dutra12,rodolfo.dutra12,"Lembro de uma moça que conheci que a mãe dela a tratava como inimiga e mimava o menino, enquanto o pai a incentivava. Ela uma vez falou que a mãe dela disse para ela que sentia ciúmes dela com o pai. Talvez a conversa devesse começar por aí, sobre o sentimento de competição que alguns genitores tem com seus filhos e filhas.",2023-01-15T19:45:54.000Z,"Jan 15, 2023",122w,0
tatimarques1209,tatimarques1209,"Tenho pensado sobre isso há algum tempo....Sou filha mais velha de 3 irmãos (os dois mais novos são homens). Lembro muito da minha adolescência qdo meu pai chamava todos p fazer faxina logo cedo! Todos nós trabalhávamos, tudo era separado confirme a idade, isto é, cada fazia conforme daria conta...nunca era mencionado sexo. Eu nunca fui tratada como a menininha ou princesinha e eles nunca foram privilegiados por serem homens. Eu nunca senti isso! Meus pais sempre nós davam conforme a necessidade , se um precisava de tenis, ganhava o tênis, outro precisava de calça, outro mochila e assim por diante, até hoje! Hoje tenho 3 filhos (2 meninas e 1 menino) e qdo vamos fazer algo todos são envolvidos nas tarefas conforme o que cabe a cada idade... não sei se está certo... mas me sinto assim😉🥰😘",2023-01-15T19:46:11.000Z,"Jan 15, 2023",122w,3
annaelisaricca,annaelisaricca,"Nossa! A lista tem vários itens, mas minha mãe acordava bem cedo eu e minha irmã para fazermos as coisas de casa, enquanto meu irmão dormia. Ela até fechava a porta do quarto dele pra ele continuar dormindo. Eu e minha irmã sempre tivemos obrigações domésticas, aprendemos a cozinhar aos 8-9 anos e meu irmão nunca fazia nada, só sentava pra acabar com a comida e depois ficava sentado no sofá, enquanto nós limpavamos tudo. Na adolescência, ele sempre deu trabalho, não tinha respeito por ninguém de casa, não tinha limites.... ele saiu da casa do meus pais quando engravidou a minha cunhada e foram morar juntos. Foi um alívio pro meus pais!",2023-01-15T19:49:15.000Z,"Jan 15, 2023",122w,0
tricia.m.alves,tricia.m.alves,"Meu irmão sempre teve liberdade para ir à casa de amigos, passar o fim de semana fora de casa (desde antes do 9 anos), e eu só podia raramente na casa de pessoas que meus pais conhecessem intimamente (1 ou 2 familias). Meu irmão foi incentivado a dirigir desde os 16 anos e meu pai pagou para ele tirar a CNH mas eu me casei sem ter CNH (aos 25 anos). Meu irmão foi incentivado a namorar e se conhecer, explorar sua sexualidade dentro e fora de casa. Eu não tive sequer oportunidade para falar sobre o que sentia.... É uma vida inteira tendo prioridades da família orientadas pelo genital... As necessidades do filho homem são mais importantes porque se não deixarmos ele fazer o que ele quer, ele ""vira gay""....",2023-01-15T19:50:27.000Z,"Jan 15, 2023",122w,0
tatiana_01,tatiana_01,"Cansei de ouvir minha mãe falando: “Com três mulheres em casa, eu vou colocar seu irmão pra lavar banheiro?” Cuequinhas eram lavadas, dobradas e guardadas dentro da gaveta dele! Nossas calcinhas eram lavadas no banheiro por nós mesmas!.. Sempre fui taxada de mais irritada entre os três, a mais “bocuda”, mas era simplesmente o fato de ter que aguentar e ouvir tudo isso sem poder fazer nada…. Hoje lido muito melhor com isso e enxergo as coisas… E mais do que isso, ensino minha filha a não aceitar jamais, de ngm, inclusive de mim, situações como essas!!",2023-01-15T19:50:48.000Z,"Jan 15, 2023",122w,0
ligia_nina_monteiro,ligia_nina_monteiro,"Meu pai dava dinheiro pro meu irmão e não pra mim. E dizia que ele fazia isso pq o meu irmão precisava de dinheiro pra pagar as coisas pras “namoradasssss ( sim ! No plural) e eu não precisava disso.Meu irmão não precisava fazer nenhuma tarefa doméstica e eu tinha que “tomar vergonha na cara” e fazer as tarefas domésticas pq eu era mulher #Eu tinha que arrumar a cama do meu irmão pq afinal ele era homem é isso era tarefa de mulher. Meu irmão brincava na rua com as crianças e eu não podia pq lugar de menina era em casa e não na rua como muleke Meu irmão me batia muito e quando eu literalmente gritava ou esbravejada eu era a “arrumadora de confusão” a louca, a escandalosa, a “gritona” Eu tinha que ter capricho com meu material escolar e minha caligrafia. Meu irmão não precisava. Porque isso não é coisa de homem Quando meu irmão vazia o mínimo era uma festa. Um discurso de como ele era brilhando. Eu passei pra todas as faculdades públicas as quais prestei vestibular e não recebi um parabéns. Ao contrário, a preocupação era que essa ou aquela faculdade forma a pitanga e vagabundos Meu irmão recebeu a oportunidade de trabalhar no escritório do meu pai. Eu fui proibida de fazer um estágio ( que conquistei por méritos próprios ) pq mulher que trabalhava na verdade queria motivo pra sair de casa pra se envolver com homens Se eu ficar relatando aqui…. Vai dar um livro",2023-01-15T19:52:17.000Z,"Jan 15, 2023",122w,0
deaonishi,deaonishi,"Tínhamos 3 cachorros e apesar de serem nossos só eu cuidava de verdade. Eu levava no vet, alimentava, passeava, fazia a comida, limpava o coco e o xixi, me preocupava em dar as vacinas e os remédios. Meu irmão apenas brincava quando queria e até hoje fala dos ‘nossos’ cachorros 😠.",2023-01-15T19:54:22.000Z,"Jan 15, 2023",122w,0
monike_pos,monike_pos,"Eu tinha q fazer com minhas irmãs as tarefas de casa, ser estudiosa... enquanto que meu irmão, 1 ano mais novo, por ser o único de 4 irmãs male limpava a garagem, quase repetiu de ano e mesmo assim recebendo todos os louros. Vídeo games e brinquedos q queria, brincando n rua, etc",2023-01-15T19:55:38.000Z,"Jan 15, 2023",122w,1
ingmay,ingmay,"Em casa, era escancarado. Com 10 anos, eu já lavava a louça da família toda, enquanto meu primo (crescemos como irmãos) nunca teve que ajudar porque ""ele é homem e iria arranjar uma mulher pra fazer isso pra ele""",2023-01-15T19:55:48.000Z,"Jan 15, 2023",122w,0
mariagrossinutri,mariagrossinutri,"Não tive diferença alguma em casa. Graças a Deus tudo igual. Mas, sei que meus pais são diferenciados. Hoje meus irmãos são diferenciados também. Graças a educação que tiveram!",2023-01-15T19:58:05.000Z,"Jan 15, 2023",122w,1
gusmao_lola,gusmao_lola,"Cresci com um irmão que além de homem era o mais velho, logo, TUDO lá em casa era dividido entre “coisas de menino e coisas de menina” Exemplo: ele podia brincar na rua, eu só de tri de casaEle podia ter carrinhos, eu só bonecas E era bem escancarado o machismo quando eu pedia pra brincar com ele e os amiguinhos e simplesmente ouvia de todo mundo: “pra que ficar no meio dos meninos? Isso é coisa de vag@bunda” (eu tinha 6 anos)",2023-01-15T19:59:35.000Z,"Jan 15, 2023",122w,0
vemkmillamber_,vemkmillamber_,"Não tenho irmão, mas tenho uma irmã mais velha. Lendo os comentários, reparei que ela sempre teve mais liberdade de viajar do que eu pelo simples fato de que ela namorou praticamente a vida inteira, ou seja, ela podia viajar por conta da presença e supervisão (masculina) do namorado. Enquanto eu, que nunca namorei, sou julgada como ‘estranha’ por querer viajar/sair sozinha e até mesmo desestimulada a fazer tais coisas",2023-01-15T19:59:45.000Z,"Jan 15, 2023",122w,0
eva.fina,eva.fina,"Eu sempre quis aprender a dirigir e ouvia que precisava aprender sobre mecânica... daí meu pai me dava aula sobre como o carro funcionava. Quando tive meu primeiro emprego, com 19 anos paguei a autoescola. Não pode treinar com o carro da família pq: -""você não tem carteira, não pode dirigir..."". Depois que tirei a carteira não pude treinar pq tinha que ter meu carro...Mas quando meu irmão mais novo fez 17 anos meu pai ensinou a dirigir e ainda pagou a autoescola pra ele🦧 (só dirijo pq não desisti e depois que casei me aventurei em dirigir sozinha)",2023-01-15T20:04:14.000Z,"Jan 15, 2023",122w,0
oliveira.daii,oliveira.daii,"Eu já apanhei pq meu irmão não fez, a própria, tarefa da escola. Eu apanhei pq eu deveria ter ajudá-lo a fazer, mesmo ele não me falando ou pedindo (como eu fiz por diversas vezes). Claro, ele não apanhou. Sendo que, eu já executava todas as atividades domésticas em casa desde 9 anos e ainda era responsável pela ""educação"" dos irmãos mais novos ... Ele chegou na idade adulta sem fazer/saber quase nenhum serviço doméstico.",2023-01-15T20:04:15.000Z,"Jan 15, 2023",122w,0
movewithcarolina,movewithcarolina,"Nem sei por onde começo. Tarefas de casa, independência pra sair e voltar a hora q quiser. Tanta coisa q nem cabe aqui.",2023-01-15T20:05:44.000Z,"Jan 15, 2023",122w,2
jualves1212,jualves1212,"Exatamente! Eu sempre fiz tudo, ajudava desde cedo em casa e meu irmão na rua aprontando, solto mais do que tudo... se envolveu com várias mulheres, teve filhos, não tem um pingo de responsabilidade e vive na casa da minha mãe até hoje com quase 40 anos. Eu sai de lá casada, nunca trai meu esposo, vivi 12 anos casada. Divórciei e até hoje eu sou a louca e que nao presto. Se não venho de uma família maxista não sei qual o nome dar",2023-01-15T20:06:17.000Z,"Jan 15, 2023",122w,9
raquel_sanmor,raquel_sanmor,"Eu com 25 anos tendo que voltar pra casa antes da meia noite, afinal enquanto eu morasse na casa deles tinha que ""obedecer"". Meu irmão caçula com 15 anos voltando a hora que queria, isso quando nao saia na sexta e voltava na segunda.",2023-01-15T20:06:23.000Z,"Jan 15, 2023",122w,0
patimiranda.sl,patimiranda.sl,Eu fazia o serviço de casa e meu pai pagou para meus irmãos tirarem carteira de motorista. Eu tirei por mim mesma aos 25.,2023-01-15T20:14:31.000Z,"Jan 15, 2023",122w,0
priscillalhullier,priscillalhullier,"Tenho muitas...mas a que mais exemplifica: sou a mais velha, e meu pai sempre ensinou e emprestava o carro para meus irmãos...Resultado: tinham carteira de motorista antes de mim. Mas, como era uma vontade minha desde sempre...assim que pude, paguei minha auto escola. Hoje meu pai, até mudou bastante, mas deixou sua herança para meus irmãos. Triste...",2023-01-15T20:15:49.000Z,"Jan 15, 2023",122w,0
inner.beauty.skincare,inner.beauty.skincare,"Somos 4 em casa, eu sendo a única mulher, fomos criados iguais, ou seja todos capinava o lote, todos carregava pau para o fogão a lenha, etc. cada um com o esforço que podia. Em casa foi differente, um exemplo, eu aprendi a cozinhar com 23/24 anos só depois do nascimento do meu filho, já meus irmãos aprenderam antes dos 15. A grande maioria das coisas sempre fui criada igual os meninos então eu era mais “machinho”, no final todos graças a Deus sao trabalhadores fora e dentro de casa.",2023-01-15T20:16:43.000Z,"Jan 15, 2023",122w,0
pahannecker,pahannecker,"Com um irmão dois anos mais novo do que eu, sempre fui a única a ser cobrada em relação as tarefas de casa, sendo criticada constantemente por conta disso. Ao tentar debater iniciava uma discussão terrível na qual minha mãe me agredia psicologicamente",2023-01-15T20:17:51.000Z,"Jan 15, 2023",122w,0
karinacirqueira,karinacirqueira,"Meu irmão não precisava fazer nada para brincar na rua, eu minha irmã é prima tínhamos que arrumar a casa e cuidar dos meus avós… Não podíamos sair à noite sem supervisão, não podíamos brincar na rua com os meninos, ou tentar brincadeiras como patins e skate",2023-01-15T20:18:26.000Z,"Jan 15, 2023",122w,0
_miraveronica,_miraveronica,Eu tinha que arrumar as camas dos meus dois irmãos mais velhos todos os dias. Fomos criados por mãe solo. Eles deixavam a parte deles por fazer e a justificativa era “mas você só estuda e nós trabalhamos fora”.,2023-01-15T20:19:08.000Z,"Jan 15, 2023",122w,0
cinthiamedeiros02,cinthiamedeiros02,"Meu irmão podia sair pra onde quisesse sem hora pra voltar pq era homem, eu não podia. Eu tinha que ajudar em todas as tarefas de casa, mas meu irmão não podia ajudar pq era homem. Eu tinha que lavar até as cuecas freiadas no domingo até lascar a mão toda enquanto meu irmão ficava jogando video game. Eu fazia, mas fazia brigando pq achava injusto. Até hj sou vista como ""a difícil"" da casa por tentar requerer igualdade de direitos. Mas se meus pais queriam impedir que meu irmão ""virasse"" gay, não deu certo, pq hj ele é assumido, mora com o namorado e é ótimo nos serviços de casa. Estávamos conversando dia desses de como essa diferença que fomos criados foi absurda.",2023-01-15T20:19:35.000Z,"Jan 15, 2023",122w,0
pahannecker,pahannecker,Outra questão que sempre me incomodou foi a infantilização do meu irmão em contrapartida de uma expectativa de que eu amadurecesse mais rápido simplesmente por ser mulher,2023-01-15T20:20:39.000Z,"Jan 15, 2023",122w,0
manoelasche,manoelasche,"Eu tinha que arrumar os armários deles (que vivia uma bagunça) limpar os quartos, meu e deles, enquanto eles: Jogavam o lixo fora 🤡",2023-01-15T20:20:55.000Z,"Jan 15, 2023",122w,0
raquelmaldonad0,raquelmaldonad0,"Quando tinha 25 foi visitar minha avó, ela disse “você não vai me ajudar a lavar os pratos?” Eu disse “ não, vó, estou cansada, pede ao meu irmão. Aliás, finge que eu sou ele, porque ele fica sentado no sofá e não faz nada e você não cobra dele”. Ela respondeu “mas ele é homem”, eu retruquei “então finge que tenho um pinto porque não vou lavar”. 😡",2023-01-15T20:21:31.000Z,"Jan 15, 2023",122w,27
elianeprado1986,elianeprado1986,"Eu fui obrigada a aprender cozinhar, limpar a casa e fazer todas as tarefas domésticas aos 8 anos enquanto meus irmãos mais velhos (sou única mulher em 4 irmãos homens) se divertiam jogando futebol, jogando videogame sujando e eu limpando...jamais irei trazer para os meus filhos esse tipo de criação os traumas são enormes...",2023-01-15T20:22:12.000Z,"Jan 15, 2023",122w,0
